import time: self [us] | cumulative | imported package
import time:      1056 |       1056 |   _io
import time:       252 |        252 |   marshal
import time:      1316 |       1316 |   posix
import time:     13925 |      16547 | _frozen_importlib_external
import time:       556 |        556 |   time
import time:      5737 |       6292 | zipimport
import time:       215 |        215 |     _codecs
import time:      3795 |       4009 |   codecs
import time:      1868 |       1868 |   encodings.aliases
import time:      8221 |      14098 | encodings
import time:      1032 |       1032 | encodings.utf_8
import time:       501 |        501 | _signal
import time:       134 |        134 |     _abc
import time:      2063 |       2196 |   abc
import time:      2001 |       4197 | io
import time:       207 |        207 |       _stat
import time:      1653 |       1860 |     stat
import time:      2394 |       2394 |     _collections_abc
import time:       136 |        136 |       genericpath
import time:      6305 |       6440 |     posixpath
import time:      4985 |      15677 |   os
import time:       315 |        315 |   _sitebuiltins
import time:     29319 |      29319 |     apport_python_hook
import time:      1370 |      30689 |   sitecustomize
import time:     83604 |     130283 | site
import time:    105185 |     105185 |         django.utils
import time:       481 |        481 |           _datetime
import time:      3002 |       3483 |         datetime
import time:       623 |        623 |             itertools
import time:      1303 |       1303 |             keyword
import time:       376 |        376 |               _operator
import time:      3381 |       3756 |             operator
import time:      1801 |       1801 |             reprlib
import time:       410 |        410 |             _collections
import time:     17405 |      25296 |           collections
import time:      1855 |       1855 |           types
import time:      5098 |       5098 |           _functools
import time:      7362 |      39609 |         functools
import time:       355 |        355 |           errno
import time:      5397 |       5397 |               enum
import time:       745 |        745 |                 _sre
import time:      1200 |       1200 |                   re._constants
import time:      4929 |       6128 |                 re._parser
import time:       394 |        394 |                 re._casefix
import time:      6308 |      13574 |               re._compiler
import time:      1096 |       1096 |               copyreg
import time:      9085 |      29150 |             re
import time:       421 |        421 |             _locale
import time:     10069 |      39638 |           locale
import time:      2319 |       2319 |           signal
import time:      1181 |       1181 |             _weakrefset
import time:      7678 |       8858 |           threading
import time:      1451 |       1451 |           warnings
import time:      2333 |       2333 |           contextlib
import time:       280 |        280 |           fcntl
import time:      8684 |       8684 |           msvcrt
import time:       179 |        179 |           _posixsubprocess
import time:       282 |        282 |           select
import time:      3315 |       3315 |             collections.abc
import time:       353 |        353 |             math
import time:      7639 |      11306 |           selectors
import time:     15776 |      91454 |         subprocess
import time:      1945 |       1945 |               weakref
import time:      5346 |       7290 |             copy
import time:     46543 |      53832 |           django.utils.functional
import time:     53525 |     107357 |         django.utils.regex_helper
import time:     82299 |     429385 |       django.utils.version
import time:     66519 |     495904 |     django
import time:     81745 |     577648 |   django.core
import time:      1269 |       1269 |     importlib
import time:      1176 |       1176 |       importlib._abc
import time:      2135 |       3311 |     importlib.util
import time:       382 |        382 |     importlib.machinery
import time:       173 |        173 |       _typing
import time:     13541 |      13714 |     typing
import time:      9371 |      28044 |   pkgutil
import time:      6251 |       6251 |     gettext
import time:      6903 |      13154 |   argparse
import time:       193 |        193 |       _heapq
import time:      5465 |       5658 |     heapq
import time:      5922 |      11579 |   difflib
import time:      3232 |       3232 |           _ast
import time:      5547 |       8779 |         ast
import time:       105 |        105 |             _opcode
import time:      3257 |       3361 |           opcode
import time:      4467 |       7828 |         dis
import time:      2126 |       2126 |             token
import time:       199 |        199 |             _tokenize
import time:      6524 |       8847 |           tokenize
import time:      2217 |      11063 |         linecache
import time:     11805 |      39473 |       inspect
import time:     45932 |      45932 |         django.utils.hashable
import time:     50836 |      96767 |       django.core.exceptions
import time:     51736 |      51736 |       django.utils.module_loading
import time:     78691 |     266666 |     django.apps.config
import time:     45778 |      45778 |     django.apps.registry
import time:     78924 |     391367 |   django.apps
import time:      3005 |       3005 |       textwrap
import time:      7144 |      10149 |     traceback
import time:      1091 |       1091 |       fnmatch
import time:      1293 |       1293 |         urllib
import time:     12016 |      12016 |         ipaddress
import time:      5705 |      19013 |       urllib.parse
import time:      8843 |       8843 |         _winapi
import time:      5465 |       5465 |         nt
import time:      6890 |       6890 |         nt
import time:      9053 |       9053 |         nt
import time:      5302 |       5302 |         nt
import time:      8854 |       8854 |         nt
import time:      5295 |       5295 |         nt
import time:     11778 |      61476 |       ntpath
import time:     10730 |      92309 |     pathlib
import time:     71503 |      71503 |     django.conf.global_settings
import time:     67622 |      67622 |         asgiref
import time:      1230 |       1230 |               concurrent
import time:       110 |        110 |                     _string
import time:      4133 |       4243 |                   string
import time:       459 |        459 |                   atexit
import time:     11159 |      15859 |                 logging
import time:      4697 |      20556 |               concurrent.futures._base
import time:      3131 |      24915 |             concurrent.futures
import time:      1398 |       1398 |               _socket
import time:       273 |        273 |               array
import time:      9048 |      10718 |             socket
import time:      6808 |       6808 |               _ssl
import time:       553 |        553 |                   _struct
import time:      1937 |       2489 |                 struct
import time:       283 |        283 |                 binascii
import time:      3216 |       5986 |               base64
import time:     14732 |      27526 |             ssl
import time:       958 |        958 |             asyncio.constants
import time:       421 |        421 |             asyncio.coroutines
import time:      1112 |       1112 |                 _contextvars
import time:      3066 |       4178 |               contextvars
import time:      1034 |       1034 |               asyncio.format_helpers
import time:       532 |        532 |                 asyncio.base_futures
import time:       724 |        724 |                 asyncio.exceptions
import time:       525 |        525 |                 asyncio.base_tasks
import time:      5006 |       6786 |               _asyncio
import time:      9766 |      21762 |             asyncio.events
import time:      1207 |       1207 |             asyncio.futures
import time:       783 |        783 |             asyncio.protocols
import time:       967 |        967 |               asyncio.transports
import time:       443 |        443 |               asyncio.log
import time:      4489 |       5897 |             asyncio.sslproto
import time:       624 |        624 |                 asyncio.mixins
import time:      4856 |       5479 |               asyncio.locks
import time:      2381 |       2381 |                 asyncio.timeouts
import time:      5912 |       8292 |               asyncio.tasks
import time:      4822 |      18593 |             asyncio.staggered
import time:       778 |        778 |             asyncio.trsock
import time:     21028 |     134579 |           asyncio.base_events
import time:      1513 |       1513 |           asyncio.runners
import time:      1238 |       1238 |           asyncio.queues
import time:      2161 |       2161 |           asyncio.streams
import time:      1455 |       1455 |           asyncio.subprocess
import time:       773 |        773 |           asyncio.taskgroups
import time:       607 |        607 |           asyncio.threads
import time:       893 |        893 |             asyncio.base_subprocess
import time:      2631 |       2631 |             asyncio.selector_events
import time:      6766 |      10290 |           asyncio.unix_events
import time:     17347 |     169959 |         asyncio
import time:      1221 |       1221 |             _queue
import time:      5555 |       6775 |           queue
import time:      2183 |       8957 |         concurrent.futures.thread
import time:     49797 |      49797 |         asgiref.current_thread_executor
import time:     42019 |      42019 |         asgiref.local
import time:     90775 |     429127 |       asgiref.sync
import time:     45656 |     474782 |     django.utils.deprecation
import time:     78746 |     727487 |   django.conf
import time:     78710 |      78710 |       django.core.checks.messages
import time:     34683 |      34683 |         django.utils.inspect
import time:     54939 |      89621 |       django.core.checks.registry
import time:     34842 |      34842 |       django.core.checks.async_checks
import time:     60043 |      60043 |               django.dispatch.dispatcher
import time:     61427 |     121470 |             django.dispatch
import time:     37166 |     158635 |           django.core.signals
import time:     93185 |      93185 |             django.core.cache.backends
import time:     73970 |     167154 |           django.core.cache.backends.base
import time:     34490 |      34490 |           django.utils.connection
import time:     63588 |     423866 |         django.core.cache
import time:      1174 |       1174 |           glob
import time:      1057 |       1057 |             _compat_pickle
import time:       298 |        298 |             _pickle
import time:      5135 |       6488 |           pickle
import time:       124 |        124 |               _bisect
import time:      2047 |       2170 |             bisect
import time:       117 |        117 |             _random
import time:       368 |        368 |             _sha2
import time:      4572 |       7225 |           random
import time:       215 |        215 |               zlib
import time:      1245 |       1245 |                 _compression
import time:      1487 |       1487 |                 _bz2
import time:      5583 |       8314 |               bz2
import time:      1105 |       1105 |                 _lzma
import time:      2877 |       3981 |               lzma
import time:      4803 |      17312 |             shutil
import time:      2656 |      19967 |           tempfile
import time:      2618 |       2618 |             _hashlib
import time:       155 |        155 |             _blake2
import time:      3034 |       5806 |           hashlib
import time:     43414 |      43414 |               django.core.files.utils
import time:     76511 |     119925 |             django.core.files.base
import time:     70012 |     189937 |           django.core.files
import time:     39270 |      39270 |           django.core.files.locks
import time:     37379 |      37379 |           django.core.files.move
import time:     58244 |     365487 |         django.core.cache.backends.filebased
import time:     36714 |     826066 |       django.core.checks.caches
import time:    173131 |     173131 |       django.core.checks.commands
import time:    723799 |     723799 |         django.core.checks.compatibility
import time:    230027 |     953825 |       django.core.checks.compatibility.django_4_0
import time:    190498 |     190498 |           django.db.utils
import time:    143289 |     333786 |         django.db
import time:    102564 |     436350 |       django.core.checks.database
import time:    208017 |     208017 |       django.core.checks.files
import time:    320971 |     320971 |       django.core.checks.model_checks
import time:    304577 |     304577 |         django.core.checks.security
import time:    893164 |    1197740 |       django.core.checks.security.base
import time:    102505 |     102505 |       django.core.checks.security.csrf
import time:    115874 |     115874 |       django.core.checks.security.sessions
import time:     91423 |      91423 |       django.core.checks.templates
import time:      2402 |       2402 |               numbers
import time:      7418 |       9819 |             _decimal
import time:      3202 |      13021 |           decimal
import time:      2489 |       2489 |             termios
import time:     12123 |      12123 |             pywatchman
import time:     81892 |      96504 |           django.utils.autoreload
import time:    149956 |     259479 |         django.utils.translation
import time:    129968 |     129968 |           django.conf.locale
import time:     61529 |      61529 |           django.utils.safestring
import time:    137400 |     328896 |         django.utils.translation.trans_real
import time:    154738 |     743113 |       django.core.checks.translation
import time:     69820 |      69820 |       django.core.checks.urls
import time:    168292 |    5610292 |     django.core.checks
import time:     65650 |      65650 |       django.utils.termcolors
import time:     11408 |      11408 |       colorama
import time:     83270 |     160326 |     django.core.management.color
import time:     98961 |    5869578 |   django.core.management.base
import time:    151148 |    7770002 | django.core.management
import time:     87675 |      87675 |     celery.local
import time:     88270 |     175944 |   celery
import time:      1740 |       1740 |                 __future__
import time:     91880 |      93620 |               kombu
import time:    119558 |     119558 |               kombu.utils.collections
import time:       372 |        372 |                     _csv
import time:      6777 |       7148 |                   csv
import time:      1766 |       1766 |                   email
import time:       650 |        650 |                       zipfile._path.glob
import time:      9725 |      10374 |                     zipfile._path
import time:     15509 |      25882 |                   zipfile
import time:      1480 |       1480 |                       quopri
import time:      4949 |       4949 |                           calendar
import time:     10174 |      15123 |                         email._parseaddr
import time:       642 |        642 |                           email.base64mime
import time:      1545 |       1545 |                           email.quoprimime
import time:      2195 |       2195 |                           email.errors
import time:      1120 |       1120 |                           email.encoders
import time:     11667 |      17166 |                         email.charset
import time:      7214 |      39502 |                       email.utils
import time:      4449 |       4449 |                         email.header
import time:     11349 |      15798 |                       email._policybase
import time:      1958 |       1958 |                       email._encoded_words
import time:       583 |        583 |                       email.iterators
import time:     31183 |      90501 |                     email.message
import time:       584 |        584 |                       importlib.metadata._functools
import time:      2475 |       3059 |                     importlib.metadata._text
import time:      5650 |      99209 |                   importlib.metadata._adapters
import time:      2022 |       2022 |                   importlib.metadata._meta
import time:      3469 |       3469 |                   importlib.metadata._collections
